Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs,Pharmacodia ID
EPHA5,"EPHA5,EK7,TYRO4",Oncology,F0,No,,
GAS6,"GAS6,AXSF,AXLLG","Oncology,Urological Diseases",F0,No,,
GPA,"GPA,PAS-2,CD235a",Cardiovascular,F0,No,,
ADAMTS4,"ADAMTS4,ADMP-1,ADAMTS-2",Orthopaedic Disorders,F0,No,,
ADIPOQ,"ADIPOQ,ACDC,APM1",Inflammation and Autoimmunity,F0,No,,
APOA2,"APOA2,apoAII,Apo-AII",Inflammation and Autoimmunity,F0,No,,
BST1,"BST1,CD157",Oncology,F0,No,,
CACFD1,"CACFD1,C9orf7,FLOWER",Oncology,F0,No,,
CAV1,"CAV1,CGL3,PPH3",Oncology,F0,No,,
CD300LF,"CD300LF,CLM1,NKIR",Oncology,F0,No,,
CD34,"CD34,","Ophthalmology,Oncology",F0,No,,
CD5L,"CD5L,AIM,PRO229",Oncology,F0,No,,
CD68,"CD68,GP110,LAMP4",Oncology,F0,No,,
CMKLR1,"CMKLR1,",Inflammation and Autoimmunity,F0,No,,
CXCL4,"CXCL4,PF-4,CXCL4","Oncology,Others",F0,No,,
CXCR6,"CXCR6,CD186,STRL33",Inflammation and Autoimmunity,F0,No,,
EFEMP1,"EFEMP1,DHRD,MLVT",Oncology,F0,No,,
ENTPD2,"ENTPD2,",Oncology,F0,No,,
EPHB2,"EPHB2,DRT,EK5",Oncology,F0,No,,
EREG,"EREG,ER,Ep,EPR","Oncology,Urological Diseases,Metabolism",F0,No,,
GAL1,"GAL1,GBP,GAL1","Oncology,Others",F0,No,,
GAST,"GAST,GAS","Oncology,Others",F0,No,,
GFRA3,"GFRA3,GDNFR3","Oncology,Others",F0,No,,
GHR,"GHR,GHBP,GHIP","Metabolism,Oncology,Inflammation and Autoimmunity,Infectious Diseases",F0,No,,
HDGF,"HDGF,HMG1L2",Oncology,F0,No,,
HPN,"HPN,TMPRSS1",Oncology,F0,No,,
CRIg,"CRIg,CRIg,Z39IG","Others,Infectious Diseases",F0,No,,
CD200R,"CD200R,OX2R,MOX2R","Inflammation and Autoimmunity,Ophthalmology",F0,No,,
IL13RA2,"IL13RA2,IL-13R,IL13BP",Inflammation and Autoimmunity,F0,No,,01579470033279916559
CD200,"CD200,MRC,MOX2","Oncology,Inflammation and Autoimmunity,Infectious Diseases,Others",F0,No,,77537355125232916510
CCL20,"CCL20,ST38,MIP3A","Inflammation and Autoimmunity,Oncology,Gastrointestinal",F0,No,,93911308973648916672
APP,"APP,ABPP,APPI","Neuroscience,Others,Ophthalmology,Inflammation and Autoimmunity,Oncology,Cardiovascular,Metabolism,Infectious Diseases",F0,No,,72592263388112916297
CD49a,"CD49a,VLA1","Inflammation and Autoimmunity,Metabolism,Cardiovascular",F0,No,,
CD205,"CD205,CLEC13B,DEC-205","Infectious Diseases,Oncology,Inflammation and Autoimmunity,Reproductive System Diseases",F0,No,,15704883039394916560
CD81,"CD81,TAPA1,TSPAN28","Oncology,Infectious Diseases,Inflammation and Autoimmunity",F0,No,,
CD160,"CD160,NK1,BY55","Oncology,Ophthalmology,Reproductive System Diseases",F0,No,,
ANXA2,"ANXA2,P36,ANX2",Oncology,F0,No,,
CFD,"CFD,ADN,ADIPSIN","Ophthalmology,Inflammation and Autoimmunity,Urological Diseases,Cardiovascular",F0,No,,
ERalpha36,"ERalpha36,",Oncology,F0,No,,
GDF15,"GDF15,PDF,MIC1","Oncology,Others",F0,No,,
ADAM15,"ADAM15,MDC15",Oncology,F0,No,,
ADAM8,"ADAM8,MS2,CD156",Oncology,F0,No,,
ADAMTS1,"ADAMTS1,C3-C5,METH1",Oncology,F0,No,,
APLP2,"APLP2,APPH,APPL2",Oncology,F0,No,,
BAMBI,"BAMBI,NMA",Inflammation and Autoimmunity,F0,No,,
CHODL,"CHODL,MT75,PRED12",Oncology,F0,No,,
CLEC9A,"CLEC9A,CD370,DNGR1",Oncology,F0,No,,
DDT,"DDT,DDCT,MIF2",Inflammation and Autoimmunity,F0,No,,
DR6,"DR6,CD358,BM-018",Inflammation and Autoimmunity,F0,No,,
EDA1,"EDA1,ED1,HED","Reproductive System Diseases,Oncology,Urological Diseases,Inflammation and Autoimmunity",F0,No,,
EFNA3,"EFNA3,EFL2,EPLG3",Oncology,F0,No,,
EVA-1,EVA-1,Oncology,F0,No,,
Gal,"Gal,GALN,GMAP",Inflammation and Autoimmunity,F0,No,,
GP1BB,"GP1BB,CD42C,GPIBB","Oncology,Others",F0,No,,
GSDMD,GSDMD,Oncology,F0,No,,
IGFBP-3R,IGFBP-3R,Oncology,F0,No,,
IL17B,IL17B,Oncology,F0,No,,
IL-1R2,IL-1R2,Inflammation and Autoimmunity,F0,No,,
CD31,"CD31,CD31,PECA1",Others,F0,No,,
FZD4,"FZD4,EVR1,CD344",Oncology,F0,No,,
FFAR1,"FFAR1,FFA1R,GPCR40",Metabolism,F0,No,,51954379428262916870
GARP,"GARP,LRRC32","Oncology,Inflammation and Autoimmunity",F0,Yes,,
CD73,CD73,Oncology,Antibody Discovery,No,,00130394742121916446
B7-H3,B7-H3,Oncology,Antibody Discovery,Yes,,55851758659778916469
